,Strain
715,SEATTLE BLUE
716,SEATTLE COUGH
717,SENSI SKUNK
718,SENSI STAR
719,SEQUOIA STRAWBERRY
720,SERIOUS 6
721,SEXXPOT
722,SHAMAN
723,SHARK ATTACK
724,SHARK SHOCK
725,SHINING SILVER HAZE
726,SHISHKABERRY
727,SHIVA SKUNK
728,SILVER HAZE
729,SILVER KUSH
730,SILVER TRAIN
731,SILVERBACK GORILLA
732,SILVERHAWKS OG
733,SIN CITY KUSH
734,SINAI
735,SIRIUS BLACK
736,SKUNK 47
737,SKUNK DAWG
738,SKYDOG
739,SKYWALKER
740,SLAZERBEAM
741,SLEESKUNK
742,SLEESTACK
743,SNOOP DOGG OG
744,SNOW LEOPARD
745,SNOW MONSTER
746,SNOW RYDER
747,SOJAY HAZE
748,SOMANGO
749,SONIC SCREWDRIVER
750,SONOMA COMA
751,SOUR AMNESIA
752,SOUR APE
753,SOUR BREATH
754,SOUR BUBBA
755,SOUR BUBBLE
756,SOUR CHOCOLATE
757,SOUR FLOWER
758,SOUR HAZE
759,SOUR JACK
760,SOUR JOKER
761,SOUR MAUI
762,SOUR PEBBLES
763,SOUR POISON
764,SOUR SPYDER
765,SOUR TANGIE
766,SOUR WILLIE
767,SOURLOPE
768,SOUTH AMERICAN
769,SOUTH CENTRAL LA
770,SOUTHERN LIGHTS
771,SPACE DAWG
772,SPACE JILL
773,SPACE MONSTER
774,SPACE NEEDLE
775,SPUTNIK
776,STAR KILLER
777,STAR MASTER KUSH
778,STARBUD
779,STARDAWG GUAVA
780,STELLA BLUE
781,STEPHEN HAWKING KUSH
782,STRAWBERRY
783,STRAWBERRY AMNESIA
784,STRAWBERRY BLUE
785,STRAWBERRY CHEESECAKE
786,STRAWBERRY COUGH
787,STRAWBERRY DURBAN DIESEL
788,STRAWBERRY FIELDS
789,STRAWBERRY FROST
790,STRAWBERRY ICE
791,STRAWBERRY LEMONADE
792,STRAWBERRY MANGO HAZE
793,STRAWBERRY SATORI
794,SUBLIME
795,SUGAR BLACK ROSE
796,SUGAR KUSH
797,SUGAR MAMA
798,SUGAR PLUM
799,SUMO GRANDE
800,SUN RA
801,SUNBURN
802,SUNSHINE
803,SUNSHINE DAYDREAM
804,SUPA DON
805,SUPER CHRONIC
806,SUPER BUD
807,SUPER CAT PISS
808,SUPER CHEESE
809,SUPER GREEN CRACK
810,SUPER JACK
811,SUPER KUSH
812,SUPER LEMON HAZE
813,SUPER SILVER HAZE
814,SUPER SKUNK
815,SUPER SNOW DOG
816,SUPER SOUR DIESEL
817,SUPERGIRL
818,SUPERMAN OG
819,SUPERNATURAL
820,SWAZI GOLD
821,SWEET BABY JANE
822,SWEET BLACK ANGEL
823,SWEET CHEESE
824,SWEET DEEP GRAPEFRUIT
825,SWEET JANE
826,SWEET LAFAYETTE
827,SWEET TOOTH
828,SWEET AND SOUR WIDOW
829,SWISS GOLD
830,SWISS TSUNAMI
831,TALIBAN POISON
832,TANGERINE KUSH
833,TANGERINE MAN
834,TANGERINE SUNRISE
835,TANGIE
836,TANGIE GHOST TRAIN
837,TANGILOPE
838,TARDIS
839,TERMINATOR OG
840,TESLA TOWER
841,THAI
842,THAI HAZE
843,THAI TANIC
844,THE BLACK
845,THE BLOOD
846,THE COUGH
847,THE DOCTOR
848,THE OX
849,THE SISTER
850,THUNDERBIRD ROSE
851,THUNDERSTRUCK
852,TIMEWRECK
853,TORA BORA
854,TRAINING DAY
855,TRIANGLE KUSH
856,TRINITY
857,TRIPLE DIESEL
858,TRIX
859,TRUE OG
860,TRUE X
861,TRUFFLE BUTTER
862,TUNA KUSH
863,TUTANKHAMON
864,TWISTA
865,TWISTED CITRUS
866,TYSON
867,U2 KUSH
868,UW
869,ULTIMATE TRAINWRECK
870,ULTRA SOUR
871,ULTRAVIOLET OG
872,VADER OG
873,VANILLA KUSH
874,VELVET BUD
875,VENICE OG
876,VERY BERRY HAZE
877,VIOLATOR KUSH
878,VIPER
879,VOODOO
880,VORTEX
881,WSU
882,WATERMELON
883,WEBSTER
884,WEST COAST DAWG
885,WET DREAM
886,WHITAKER BLUES
887,WHITE BASTARD
888,WHITE BERRY
889,WHITE BUFFALO
890,WHITE DRAGON
891,WHITE DURBAN
892,WHITE EMPRESS
893,WHITE FIRE 43
894,WHITE HAZE
895,WHITE KRYPTONITE
896,WHITE KUSH
